Wavelength (micron),Flam (1e-20 erg / (Angstrom s cm2))
0.7663215926443134,1098.5033556019175
0.774119919436049,1113.4062687766525
0.7821132007259336,1170.4578555824578
0.7903073872275499,1282.5734696764541
0.7987084651175618,1345.8951986131026
0.8073225394191289,1431.4346568694536
0.8161557536067607,1433.1560903415261
0.8252143502760124,1423.9309807360312
0.834504545011099,1333.4593715412907
0.8440326001886391,1257.4532074723204
0.8538047314180898,1320.0686080801174
0.863827101018897,1360.1241551670437
0.8741057900388345,1412.0554804071219
0.8846467458414128,1399.4947650808795
0.8954557180203407,1437.7525078668998
0.9065382439315256,1452.1783755033398
0.917899600133022,1413.6279488506718
0.9295447399190664,1418.1730123753641
0.9414781779776228,1402.2025613376793
0.953704006410979,1386.184547782792
0.9662258385310472,1382.1623987575872
0.9790467547363041,1335.3552779059403
0.9921691657178157,1327.2349949389072
1.0055946541021599,1324.1795910204692
1.019324339057131,1340.1720195768817
1.0333581625344184,1332.8436024152738
1.04769562118343,1314.5467638959929
1.0623348095831198,1310.3287961433439
1.0772733104231236,1290.7643052077203
1.0925076238365548,1261.2955378470986
1.1080329895883543,1260.026183177672
1.1238439247626621,1225.9321073502263
1.1399339202296326,1197.1454350399188
1.1562954692118335,1197.0977516762562
1.172920110207348,1162.5389744215443
1.189798482477525,1145.767091374767
1.2069203946981257,1130.1003644418768
1.22427490282959,1111.4228963256692
1.2418503998866297,1071.3072360793064
1.2596347079726347,1059.263501612549
1.2776150098076984,1048.1882324460767
1.295778068512631,1015.9602172623985
1.3141105508925275,1013.8854133502872
1.3325989336743904,954.2715346006077
1.3512292027094672,892.2647248690286
1.3699877959948106,875.3119168916448
1.3888610454771944,860.4493204662955
1.4078354054332207,803.8742171491144
1.4268978129515848,799.6044926298154
1.4460351644415461,773.2762238781893
1.4652351804118575,752.0047242827985
1.484485542835912,751.1354703315874
1.503774894158332,755.9485891930439
1.5230919289675537,747.2084416405039
1.5424263132204807,754.921547827442
1.5617678733561122,738.0147840321301
1.5811073562502567,712.4733719950494
1.6004357718665838,727.4262976605958
1.6197449660294148,716.9021922727927
1.6390271122827214,699.5883711421548
1.6582751384955747,683.8044259697978
1.6774823285483327,668.5470049163332
1.6966426491323692,644.8587924462897
1.7157504065023585,643.8044106173616
1.7348005438698328,594.0669703659677
1.7537882957827848,556.9436732818292
1.7727094873374194,530.2317437140205
1.7915602014168344,498.7113844031792
1.8103370271307406,474.1466484798607
1.8290368449051946,456.9664666726806
1.8476568906461937,431.721672779069
1.8661947450366239,415.49743742958026
1.8846482083551959,414.6184102885575
1.9030154271188704,410.958434137693
1.9212947744597593,372.3969448331584
1.9394848318047353,384.6172479896226
1.9575844354875391,366.7930926727562
1.9755926116367761,363.161253209543
1.9935085372044494,353.974872156845
2.0113315901179836,352.6179932166729
2.0290612972848603,344.8834530726622
2.0466973210851362,341.86351637682304
2.064239440861173,340.12389205381555
2.0816875658764213,327.76452520528
2.0990417114575735,327.2470272514016
2.1163019870189075,319.29775172994607
2.1334685879069606,315.2345620977283
2.1505417897480097,316.2984231410488
2.1675219368064105,308.88959897360365
2.1844094386983834,309.2798180315252
2.201204765306114,301.903479093824
2.2179084339102637,301.287450188162
2.2345210100099795,290.83038058151277
2.2510430992861563,276.5139586505772
2.267475343613624,277.7856053878244
2.2838184159891077,275.87985649993476
2.3000730180022937,266.7598582932712
2.3162398745848396,257.00665589719716
2.3323197325301765,250.07313999466214
2.348313355464835,241.1228888760616
2.3642215224878185,235.8051853158896
2.3800450290042994,225.26334441475024
2.395784677348306,213.9617594069996
