Wavelength (micron),Flam (1e-20 erg / (Angstrom s cm2))
0.7663215926443134,0.3027046488552395
0.774119919436049,-0.6339596898660333
0.7821132007259336,1.125539657440405
0.7903073872275499,-0.3551060453244123
0.7987084651175618,-0.7285855023006891
0.8073225394191289,0.0636339754302124
0.8161557536067607,0.33203763577506057
0.8252143502760124,0.17348924636468474
0.834504545011099,0.8135695563258712
0.8440326001886391,1.34107703925894
0.8538047314180898,1.5306739976310966
0.863827101018897,1.619290392036422
0.8741057900388345,2.7668043614576927
0.8846467458414128,1.9438897923229488
0.8954557180203407,3.1240433202044744
0.9065382439315256,4.315185868480447
0.917899600133022,4.4345666814123765
0.9295447399190664,5.481475467232776
0.9414781779776228,5.63362595266216
0.953704006410979,7.3355773098297625
0.9662258385310472,8.003120401811081
0.9790467547363041,10.171191851094653
0.9921691657178157,10.474931911081047
1.0055946541021599,10.492491853262125
1.019324339057131,12.21364739066012
1.0333581625344184,14.344491727201616
1.04769562118343,17.75978159615059
1.0623348095831198,19.860590111555588
1.0772733104231236,21.40312264638723
1.0925076238365548,23.456193982512286
1.1080329895883543,19.086647314684424
1.1238439247626621,17.81977575838105
1.1399339202296326,15.229466597059112
1.1562954692118335,16.076373493424807
1.172920110207348,15.944191525736999
1.189798482477525,19.207388420648805
1.2069203946981257,24.338595229432674
1.22427490282959,29.397981016333315
1.2418503998866297,30.56287861059551
1.2596347079726347,34.326782895353425
1.2776150098076984,38.54958947063275
1.295778068512631,36.9457636662744
1.3141105508925275,34.01816649015309
1.3325989336743904,22.21529603597984
1.3512292027094672,7.340392046197313
1.3699877959948106,4.332261224057746
1.3888610454771944,4.115380707686017
1.4078354054332207,4.130367432187915
1.4268978129515848,3.8298967674622646
1.4460351644415461,5.093619199333074
1.4652351804118575,6.959864393658366
1.484485542835912,8.854770576866196
1.503774894158332,11.553811197236591
1.5230919289675537,14.859867664355841
1.5424263132204807,19.579018015551426
1.5617678733561122,22.912409973652565
1.5811073562502567,25.9603869972971
1.6004357718665838,25.541735345044945
1.6197449660294148,19.239091807225826
1.6390271122827214,16.355739036404103
1.6582751384955747,16.122265643098032
1.6774823285483327,14.207053149924969
1.6966426491323692,14.097100634018092
1.7157504065023585,13.14039200325214
1.7348005438698328,12.205633092003493
1.7537882957827848,10.13922645171302
1.7727094873374194,7.758126849424964
1.7915602014168344,5.986878582187481
1.8103370271307406,4.673847172736589
1.8290368449051946,5.1033627577108485
1.8476568906461937,4.352195544682282
1.8661947450366239,3.45126094582763
1.8846482083551959,4.710436031730772
1.9030154271188704,5.566820757962263
1.9212947744597593,5.247030718392034
1.9394848318047353,4.606862919315776
1.9575844354875391,4.730250052045799
1.9755926116367761,5.039321509338058
1.9935085372044494,5.637399241380379
2.0113315901179836,6.792460456836779
2.0290612972848603,7.769885529945767
2.0466973210851362,9.206796445293953
2.064239440861173,10.071155868491164
2.0816875658764213,11.094125588480404
2.0990417114575735,11.202828939308858
2.1163019870189075,11.067978786312796
2.1334685879069606,10.749693821063197
2.1505417897480097,9.63135147908776
2.1675219368064105,8.912143462563995
2.1844094386983834,7.566673832603651
2.201204765306114,4.915121891202349
2.2179084339102637,3.7211750171896494
2.2345210100099795,3.211066797198697
2.2510430992861563,2.8669255053753284
2.267475343613624,2.6928796700395687
2.2838184159891077,2.46831406562426
2.3000730180022937,1.8443621955860845
2.3162398745848396,1.720252018761275
2.3323197325301765,1.5823764963977418
2.348313355464835,1.5503812306985498
2.3642215224878185,1.577880616633018
2.3800450290042994,1.599353450261585
2.395784677348306,1.5846517822801152
2.411441280834754,2.046133528497997
2.4270156551776076,2.342014309077121
2.4425086228175013,2.4346424149822283
2.457921006980187,2.4031168059946304
2.4732536346195357,2.4331373618155303
2.4885073408395906,2.2935299778106355
2.503682951727686,2.1476215230583175
2.5187812903076483,2.0512472566885136
2.5338031746699166,1.8501296096038395
2.548749434851414,1.6493704149031458
2.563620884124459,1.4975651066357694
2.5784183292899194,1.5693052024274698
2.593142576432527,1.5008457963714967
2.607794431730421,1.619057280220281
2.6223746810284503,1.7818274188497512
2.6368841105021588,2.32967992886745
2.651323507129081,2.191676664191412
2.665693633540448,1.7594038116251072
2.6799952584955955,1.2980280658069003
2.6942291379240904,1.1956159274764426
2.7083960109643352,1.4883730387964842
2.722496629522857,1.569692110074477
2.736531711535136,1.6330403338804025
2.7505019904400734,1.9582221840281733
2.7644081702232524,1.5266705447548543
2.7782509597600167,1.683713840374026
2.7920310509214152,1.6884302170853063
2.805749132496325,1.5872082633487863
2.819405880470551,1.719369285628875
2.833001963884593,1.9783797972261992
2.846538039269264,1.7509609857408102
2.860014761815952,1.9963354339818182
2.8734327662119497,2.1231284333739744
2.8867926948960276,2.0698393423942605
2.900095159785734,2.224048563814447
2.9133407892191947,2.2622246534815793
2.9265301811418674,2.159578279863398
2.9396639352725615,2.386206168527572
2.952742644822895,2.532091068582142
2.9657668825608123,2.5441142049243664
2.9787372316333065,2.5907340371204115
2.991654251701132,2.439292674465906
3.004518493532705,2.624014849783885
3.017330517982807,2.6904996665440204
3.0300908585338138,2.9409930639918573
3.0428000421342927,2.6367877663797574
3.0554586059953643,2.299608892665408
3.0680670618450723,2.1356818742467225
3.0806259152065363,2.1069626753892976
3.093135675007638,1.7210535950024044
3.1055968365654634,1.4385857732141032
3.118009883201358,1.417714578997054
3.13037529212252,1.1678301356110758
3.142693548665865,0.9745190660499434
3.154965115342098,0.960398813171868
3.1671904499914554,0.8473690502097224
3.1793700032390566,0.8922631598185155
3.1915042278142876,0.6991623467877817
3.203593566604194,0.6864935526428392
3.2156384500369875,0.6536429043453802
3.22763930434159,0.6509110618843926
3.239596549308382,0.8081377593635869
3.251510606573627,0.8188707018089356
3.2633818867882223,0.8863444385289448
3.2752107919167264,1.0487050784239975
3.2869977197672684,1.2933347837983467
3.2987430616545987,1.2717667885958144
3.310447203209697,0.8652691117092182
3.3221105255911385,0.411888711173256
3.3337334117203885,0.2343836016421568
3.3453162302688932,0.36099834551064175
3.3568593467138457,0.5476364634586828
3.3683631216578553,0.7029605791481786
3.3798279101381015,0.7719105010592798
3.3912540621769245,0.8966050188482804
3.4026419233783582,0.8050958722188918
3.4139918350865566,0.804864461233116
3.42530413262564,0.8510642801485468
3.43657914896227,0.8041557483305928
3.4478172106928655,0.8755351167802086
3.459018641120208,0.7871695173405979
3.470183758829473,0.8558064322919182
3.4813128789037235,0.9654980890037242
3.4924063109532404,1.0800825228675726
3.503464361424337,0.8895269360760061
3.5144873309160376,1.0950640090297088
3.525475517721638,0.9639174199109767
3.5364292148503687,1.047469348362265
3.547348712091234,1.3158779228292075
3.558234295366359,1.4543568141399106
3.5690862472308975,1.1764146089765544
3.5799048453398,1.3330413120280316
3.5906903655239932,1.3757273644387047
3.6014430803543043,1.4971892809200276
3.612163257010827,1.59337963929989
3.6228511602368374,1.6018119330230587
3.6335070514080567,1.7038163903450987
3.644131186793082,1.7966628995992466
3.6547238211277495,2.030920464270127
3.6652852060189143,2.0537736115139023
3.6758155884002424,1.9365406407647914
3.686315213189902,2.1480590726260926
3.6967843216100733,2.511727313023884
3.7072231519909984,2.57679730715721
3.7176319402234688,2.6462591838448217
3.7280109178605763,2.6497686154720967
3.7383603180441494,2.664406950262436
3.7486803692771367,2.8414199380475393
3.7589712944633358,2.8470508326199226
3.7692333145635164,2.660970546068172
3.779466648037233,2.6215955526426855
3.7896715108007104,2.980369503567769
3.799848115044753,3.032885348071288
3.8099966717361307,3.189175379430995
3.8201173944114766,3.2887637650924058
3.8302104872469056,3.5421048396130925
3.8402761536484293,3.5235055823551638
3.8503145929230524,3.4549629224130354
3.8603260028610866,3.412743750974356
3.870310580415696,3.48955841075425
3.8802685234654226,3.4830124687943744
3.890200022911363,3.52982674304131
3.9001052675865227,3.692387410890313
3.909984443209113,3.884744472857362
3.919837733300868,3.936479352749433
3.9296653272534883,3.8729336355410613
3.9394674047605855,4.206525321344365
3.9492441426692237,4.105039098287722
3.958995716518939,4.078920204660515
3.9687223033867816,3.9961898477659754
3.9784240779375817,4.118841491864695
3.9881012106079856,3.9911057316722767
3.9977538681045157,4.233805595625796
4.007382216853585,4.460052212367675
4.016986427079136,4.050659051230384
4.026566661589679,4.0625041909724935
4.036123078404137,4.05094896141436
4.045655837951796,3.949587772748809
4.0551651036555185,4.037039705358383
4.064651028624787,4.275365269902733
4.074113765910358,4.323511674229005
4.083553470117378,4.397984755721936
4.092970296097852,4.2241623963438455
4.102364389721523,4.246485395111284
4.111735897736733,4.226195324632752
4.12108497303308,4.028110735825651
4.130411757244677,3.8883604250981896
4.139716392055213,3.9320578139415017
4.148999022922519,3.714625460033249
4.158259790984026,3.8406095313099597
4.1674988316964,3.7057639955080894
4.176716285478991,3.407744763095687
4.185912289762111,2.8499342194645187
4.195086975677259,2.5072063850894586
4.204240479440824,2.178177470220529
4.213372933499892,1.8254100327970058
4.222484466689331,1.7006506309178775
4.231575209108831,1.3365369965564793
4.240645290949382,1.3878392242261752
4.249694834501977,1.3900173340336532
4.258723969894642,1.220601546669333
4.267732820577568,1.2584083481105022
4.276721506179046,1.3125276169015343
4.285690153784143,1.3288509450297576
4.294638881810775,1.4373718015721069
4.3035678068934775,1.3637149879679114
4.312477052651228,1.300579095443291
4.321366731802142,1.252139901116178
4.330236962314281,1.3251104894855619
4.339087859279062,1.119289338106039
4.347919533663539,1.1224221309208648
4.356732102387456,1.1270207798343623
4.365525674426906,1.2953961546811992
4.374300359307887,1.250160510058595
4.383056269664768,1.28661277426085
4.391793507795993,1.3827114924358097
4.400512189278722,1.1703800403744684
4.40921241452012,1.3801324563495119
4.417894291464515,1.2867970391935077
4.426557923747798,1.215348427082059
4.435203412456348,1.2533790477012299
4.4438308645835685,1.1017758831704345
4.452440376459321,1.106608893310037
4.461032053368227,1.0690730038573877
