Wavelength (micron),Flam (1e-20 erg / (Angstrom s cm2)),Noise
0.9065382439315256,6.480154527151147,0.5697370995954264
0.917899600133022,6.678643800220387,0.47060510593644916
0.9295447399190664,7.168982433467188,0.4770259709969892
0.9414781779776228,7.739605143137699,0.47382093071525233
0.953704006410979,7.888585430693853,0.40618659711051674
0.9662258385310472,9.589264614664248,0.49431571547829667
0.9790467547363041,9.91374217361052,0.4766102889122643
0.9921691657178157,8.995317389846454,0.463437482367177
1.0055946541021599,8.151626919535925,0.5492028086874196
1.019324339057131,9.074843096926404,0.4510362853235925
1.0333581625344184,9.1491662159076,0.4487455124080326
1.04769562118343,11.003266193840572,0.5023304567452495
1.0623348095831198,10.506954611659157,0.45891776584524824
1.0772733104231236,11.88910975282985,0.5053323540930164
1.0925076238365548,12.86459074119954,0.3938842032565064
1.1080329895883543,12.22583361561567,0.3714556351644089
1.1238439247626621,12.354183007905275,0.36891497009893187
1.1399339202296326,11.309267273093955,0.3316680516580786
1.1562954692118335,12.267008862363276,0.3720226683545598
1.172920110207348,11.572930314887133,0.362513262448396
1.189798482477525,12.81242663376774,0.4543933388744556
1.2069203946981257,12.474054408127568,0.34360715631657385
1.22427490282959,13.973782012621893,0.46090131263695033
1.2418503998866297,12.842571931537321,0.32058654195229697
1.2596347079726347,12.203328621184314,0.33245384221871044
1.2776150098076984,14.350472706418094,0.3240294179231539
1.295778068512631,14.199279160186471,0.31463629940385207
1.3141105508925275,14.559642875626928,0.32040547844423173
1.3325989336743904,11.784745067315615,0.41943782879002045
1.3512292027094672,7.923657795174355,0.30060738115147834
1.3699877959948106,6.605397252372126,0.2668040835408596
1.3888610454771944,6.590571845613871,0.26942547889620566
1.4078354054332207,6.0315899806668885,0.25276194226890625
1.4268978129515848,5.137107818245629,0.2179077757443539
1.4460351644415461,5.952923686963092,0.22250298099238933
1.4652351804118575,6.232798842508311,0.24000547646400258
1.484485542835912,6.4721284929744405,0.26961015554633455
1.503774894158332,6.731220149503827,0.2598869894576902
1.5230919289675537,7.24661806423922,0.2323050841418109
1.5424263132204807,7.766246457641156,0.3335985735930572
1.5617678733561122,7.839691655023468,0.2441780544841174
1.5811073562502567,8.88366767909252,0.2729364683036565
1.6004357718665838,9.069958469776198,0.33873185238056225
1.6197449660294148,8.831986947712323,0.2558178230659274
1.6390271122827214,9.20339533910848,0.2659018141318367
1.6582751384955747,9.026935617682051,0.3412405259770328
1.6774823285483327,9.006008668901805,0.2631608910107376
1.6966426491323692,9.154605437669785,0.25554750949726185
1.7157504065023585,8.56344845066821,0.24041116736821314
1.7348005438698328,7.029057156834447,0.23436960841999657
1.7537882957827848,6.76741598838075,0.22528010724007258
1.7727094873374194,5.388997765662389,0.20440346535633874
1.7915602014168344,4.734030314279307,0.19066289583520268
1.8103370271307406,4.64535224636299,0.20288933757678707
1.8290368449051946,4.369733485462052,0.18915602648397817
1.8476568906461937,3.7875604561212257,0.19900977806671308
1.8661947450366239,3.516076026557467,0.17699176340620895
1.8846482083551959,3.685066949961905,0.2383471501796869
