#WAVELENGTH,FLUX,UNCERTAINTY
0.654779,0.22890538,0.07140131
0.656976,0.21736866,0.06436191
0.659164,0.19296286,0.052096914
0.661344,0.20447692,0.033165056
0.663517,0.12020519,0.06084541
0.665683,-0.031572033,0.07639307
0.667844,0.08843649,0.056465685
0.670001,0.14715008,0.11282644
0.672154,0.08351193,0.034920566
0.674304,0.118758045,0.04380287
0.676452,0.20519218,0.023608444
0.678599,0.0017925092,0.058502592
0.680746,-0.25541922,0.21739319
0.682893,0.044722706,0.08724829
0.685041,-0.05874321,0.08672326
0.687192,-0.020680198,0.10093211
0.689344,-0.05559567,0.019051133
0.691501,0.08073221,0.01300947
0.693661,0.034566898,0.056421716
0.695825,0.0959698,0.09322896
0.697995,0.0887762,0.13551052
0.700171,0.13669874,0.018211914
0.702353,0.085790776,0.012729894
0.704543,0.26282853,0.059952937
0.70674,0.14815353,0.06380649
0.708945,0.15356803,0.04686001
0.711159,0.20449956,0.047591317
0.713382,0.22641987,0.019504448
0.715615,0.14620665,0.05850108
0.717858,0.22545739,0.039327465
0.720112,0.26752964,0.040616635
0.722377,0.34185866,0.12121863
0.724654,0.39434093,0.086959735
0.726943,0.3902626,0.03173245
0.729244,0.46097374,0.017117184
0.731558,0.5418344,0.054126456
0.733886,0.5165643,0.04956537
0.736227,0.4873177,0.04227062
0.738582,0.49750507,0.016995756
0.740952,0.55778354,0.017488101
0.743336,0.48881814,0.022719365
0.745735,0.46853596,0.0141223585
0.74815,0.43613198,0.04634913
0.75058,0.46773008,0.03298501
0.753026,0.4782156,0.031774536
0.755489,0.525374,0.01797065
0.757967,0.3902494,0.062999696
0.760463,0.42582765,0.045803532
0.762975,0.31585434,0.0467983
0.765505,0.1983698,0.039783232
0.768052,0.15694995,0.08272552
0.770617,0.24207453,0.017601544
0.773199,0.33249414,0.009735447
0.7758,0.47873834,0.020235188
0.778418,0.47230473,0.025811609
0.781055,0.5322964,0.0072347387
0.783711,0.5765899,0.009089105
0.786385,0.6251166,0.011151915
0.789077,0.68420607,0.010680898
0.791789,0.6759418,0.042689208
0.79452,0.6754455,0.058671873
0.797269,0.7295961,0.040110853
0.800038,0.8334378,0.0084490655
0.802826,0.83629507,0.0038434986
0.805634,0.89492786,0.031581093
0.808461,0.89538264,0.047855154
0.811308,0.8146805,0.06849667
0.814174,0.769464,0.05606201
0.817059,0.7653423,0.013649131
0.819965,0.7550795,0.013743777
0.822889,0.83899003,0.026118286
0.825834,0.8866655,0.019230232
0.828798,0.93439573,0.0044392063
0.831782,0.9216757,0.0077332156
0.834786,0.8281441,0.035696786
0.83781,0.8532689,0.05128861
0.840853,0.83521557,0.011285664
0.843916,0.78977835,0.0808579
0.846998,0.8308522,0.02835259
0.8501,0.8152561,0.017738974
0.853222,0.8326074,0.01756023
0.856363,0.85909855,0.009963406
0.859524,0.83135426,0.016107189
0.862704,0.82860076,0.029807277
0.865904,0.76944333,0.013012377
0.869123,0.7544586,0.0021669301
0.872361,0.76037323,0.011678569
0.875618,0.7675032,0.0018078374
0.878894,0.8016226,0.00235422
0.882189,0.84595203,0.0060606487
0.885504,0.8563772,0.019570692
0.888837,0.87662923,0.0025004435
0.892188,0.8783107,0.020294636
0.895558,0.9225514,0.01646012
0.898947,0.90982574,0.030190952
0.902354,0.8886132,0.011488978
0.905779,0.93274057,0.004462797
0.909222,0.91623485,0.038256265
0.912684,0.9700174,0.03628391
0.916163,0.9843,0.04616418
0.91966,0.99480444,0.015737837
0.923174,0.9890748,0.007841977
0.926706,1.0067676,0.007925695
0.930255,0.9879972,0.012711003
0.933821,0.9741618,0.011992153
0.937404,0.9442207,0.008257265
0.941004,0.9666072,0.006381121
0.944621,0.9815636,0.01283258
0.948254,0.99027324,0.004586392
0.951903,0.98977876,0.01906208
0.955569,0.96108323,0.009537399
0.95925,0.9135115,0.034607094
0.962948,0.9473006,0.019727709
0.966661,0.92222685,0.014622382
0.970389,0.9232327,0.02189181
0.974133,0.94816124,0.011188227
0.977892,0.9831697,0.006482768
0.981665,0.9924435,0.008886717
0.985454,0.93404096,0.005221732
0.989257,0.8857728,0.0041538556
0.993074,0.823375,0.0037725384
0.996905,0.8093415,0.0075291297
1.00075,0.8379294,0.019136814
1.00461,0.8538237,0.014855588
1.00848,0.8656624,0.0030276442
1.01237,0.90472454,0.006246485
1.01627,0.91287744,0.00064690475
1.02018,0.90613437,0.0011563957
1.0241,0.91875803,0.007359316
1.02804,0.90847075,0.011557332
1.03199,0.9259239,0.01007096
1.03595,0.9311893,0.0130435545
1.03993,0.9455587,0.0030705414
1.04391,0.9619872,0.0033573075
1.04791,0.95859206,0.012677391
1.05192,0.9591941,0.006256676
1.05594,0.96511245,0.00798488
1.05997,0.97252935,0.009839774
1.06401,0.9699174,0.0057488764
1.06806,0.96575224,0.0030098099
1.07212,0.9604925,0.011272812
1.0762,0.977204,0.001767122
1.08028,0.99266803,0.0047933282
1.08437,0.9852059,0.0040674764
1.08847,1.0,0.00047663975
1.09258,0.96906054,0.008067899
1.0967,0.9580655,0.00045145638
1.10083,0.9574767,0.0071779145
1.10497,0.97197634,0.006025621
1.10911,0.9751846,0.0039313496
1.11326,0.9664505,0.010086681
1.11742,0.9440207,0.0037287169
1.12159,0.93149316,0.009729068
1.12577,0.9311327,0.002382057
1.12995,0.9220796,0.013033137
1.13415,0.8861106,0.0062141377
1.13834,0.86520386,0.0044820462
1.14255,0.8629127,0.01023549
1.14676,0.8906986,0.0016654526
1.15098,0.9115846,0.010196235
1.1552,0.89970255,0.009012049
1.15943,0.8995762,0.011895603
1.16366,0.89173084,0.00986944
1.1679,0.87330955,0.004137625
1.17215,0.8532708,0.006078124
1.1764,0.85523355,0.0017415312
1.18066,0.84494424,0.003053122
1.18492,0.8494982,0.0055944244
1.18918,0.86424893,0.0061314767
1.19345,0.8444045,0.0049260766
1.19773,0.82998604,0.008392939
1.202,0.8141369,0.0030255306
1.20629,0.8398034,0.005408814
1.21057,0.8520743,0.0031728866
1.21486,0.8496153,0.0018608291
1.21915,0.8534161,0.007706738
1.22344,0.8547523,0.0022291713
1.22774,0.8571302,0.0018357533
1.23204,0.85530704,0.0034854324
1.23634,0.8359988,0.0046698838
1.24065,0.8304314,0.006654299
1.24495,0.8262625,0.005589291
1.24926,0.8140199,0.0064120153
1.25357,0.82124996,
1.25788,0.83599305,0.014377513
1.2622,0.8383389,0.0020922334
1.26651,0.83904856,0.0066151577
1.27083,0.83985436,0.0059753265
1.27514,0.8390505,0.009642028
1.27946,0.8241299,0.004784232
1.28378,0.81973827,0.0052694986
1.2881,0.8101134,0.004305986
1.29241,0.82414126,0.0037745012
1.29673,0.81655264,0.0076193963
1.30105,0.8093849,0.011224442
1.30537,0.801315,0.006573223
1.30968,0.7930602,0.009721103
1.314,0.7770961,0.008454822
1.31832,0.77409345,0.006345981
1.32263,0.76509136,0.010613334
1.32695,0.7439693,0.01127653
1.33126,0.67921054,0.009567237
1.33557,0.63596064,0.00092284207
1.33988,0.6093033,0.007789305
1.34419,0.60344154,0.018636223
1.3485,0.5997728,0.024002876
1.3528,0.5739044,0.022457415
1.35711,0.6115586,0.027753014
1.36141,0.5600539,0.0112505425
1.36571,0.5435349,0.041639335
1.37,0.5661119,0.04091086
1.3743,0.5486946,0.025823308
1.37859,0.5438897,0.025530033
1.38288,0.5601275,0.006103866
1.38716,0.5262817,0.011634785
1.39145,0.5582346,0.006208684
1.39573,0.5042029,0.0054873615
1.4,0.4843963,0.014581108
1.40428,0.5078057,0.030019969
1.40855,0.50210613,0.0033412473
1.41281,0.48309034,0.011227538
1.41708,0.46772063,0.024214627
1.42134,0.4743411,0.017628323
1.42559,0.46470863,0.004945025
1.42984,0.46251753,0.009762076
1.43409,0.4633498,0.0020346914
1.43833,0.4477423,0.0040917844
1.44257,0.45516858,0.0066637355
1.44681,0.45739552,0.010106856
1.45104,0.4727445,0.007839638
1.45527,0.45272836,0.014616607
1.45949,0.46261,0.004907846
1.4637,0.4720613,0.0022110539
1.46792,0.4778325,0.012954798
1.47212,0.4529926,0.0066125533
1.47633,0.4429808,0.0061880937
1.48052,0.45492136,0.00047631137
1.48472,0.45899028,0.01940669
1.4889,0.45558944,0.010748216
1.49309,0.44943896,0.0034484994
1.49726,0.4575654,0.0060970914
1.50143,0.45023158,0.005188743
1.5056,0.4529209,0.0021807826
1.50976,0.44616646,0.005799322
1.51392,0.4481556,0.011224857
1.51807,0.45791075,0.0010967929
1.52221,0.45688978,0.001687571
1.52635,0.45157906,0.003998252
1.53048,0.4498843,0.008447857
1.53461,0.4490747,0.005745215
1.53873,0.44985414,0.0040332424
1.54285,0.45209995,0.0047855717
1.54696,0.4519244,0.002419198
1.55106,0.4509582,0.0019817918
1.55516,0.44054624,0.0020444293
1.55925,0.4320386,0.003663135
1.56333,0.44152948,0.0025515687
1.56741,0.43368044,0.0044897846
1.57149,0.43731153,0.005523804
1.57555,0.4287491,0.0018540956
1.57961,0.43407115,0.00028874978
1.58367,0.4248161,0.007096763
1.58772,0.4282169,0.0027469927
1.59176,0.42302698,0.0050657517
1.5958,0.4190128,0.0051921783
1.59983,0.42688265,0.0028912912
1.60385,0.41328695,0.0030143769
1.60786,0.40281272,0.0041683116
1.61187,0.4117375,0.008105738
1.61588,0.4129227,0.0035957228
1.61988,0.39961955,0.0063789315
1.62387,0.3995497,0.0020678125
1.62785,0.39741147,0.003996988
1.63183,0.40296564,0.0047568292
1.6358,0.39203283,0.0008260266
1.63976,0.39828902,0.0049780705
1.64372,0.38707128,0.002234588
1.64767,0.3894039,0.0029304326
1.65162,0.38377425,0.0011476974
1.65556,0.38167,0.002428634
1.65949,0.38467446,0.0019442735
1.66342,0.3653416,0.00532938
1.66733,0.37098065,0.005616505
1.67125,0.37181857,0.0055398266
1.67515,0.37389833,0.0042935116
1.67905,0.3737266,0.0034942646
1.68294,0.36727786,0.0022403062
1.68683,0.36813658,0.011139706
1.69071,0.36202946,0.0013409206
1.69458,0.3430778,0.005209729
1.69845,0.35129297,0.0016023489
1.70231,0.34496692,0.0016708784
1.70616,0.34205678,0.0015837369
1.71001,0.33320943,0.0011205155
1.71385,0.32877627,0.0029435866
1.71768,0.32669842,0.0040846127
1.72151,0.32919714,0.0018183852
1.72533,0.321718,0.0046765083
1.72915,0.3192174,0.0010920088
1.73295,0.31393498,0.0037060322
1.73676,0.30434406,0.0011741112
1.74055,0.31197608,0.0036149726
1.74434,0.30477247,0.0030292487
1.74812,0.2942794,0.00089218
1.7519,0.2885931,0.0033268477
1.75567,0.28594345,0.0012702057
1.75943,0.28384295,0.0010736175
1.76319,0.28563774,0.0067721005
1.76694,0.27165896,0.005756633
1.77068,0.2757542,0.00092209846
1.77442,0.25806135,0.0022957912
1.77815,0.2424501,0.015278046
1.78188,0.25279218,0.0014639838
1.7856,0.2571951,0.0020142146
1.78931,0.24257277,0.001305331
1.79302,0.24927059,0.0017980388
1.79672,0.22100538,0.017985126
1.80042,0.24259353,0.008655605
1.80411,0.23262702,0.0041556675
1.80779,0.19694494,0.020952338
1.81147,0.23716582,0.00829386
1.81514,0.24423166,0.0026803352
1.8188,0.23652792,0.0034818465
1.82246,0.24707006,0.0062884763
1.82612,0.23872091,0.0058582225
1.82976,0.2356598,0.006248788
1.83341,0.24024956,0.0099417595
1.83704,0.23311768,0.011866803
1.84067,0.15878227,0.0056135417
1.8443,0.19494258,0.021985603
1.84792,0.22703321,0.032501876
1.85153,0.20454675,0.015383506
1.85514,0.20149131,0.034920756
1.85874,0.1968185,0.006341243
1.86233,0.19491237,0.0047734934
1.86593,0.20817968,0.00728309
1.86951,0.2140056,0.032717593
1.87309,0.08388051,0.023046045
1.87666,0.1823158,0.017225925
1.88023,0.19168141,0.010216562
1.8838,0.19643727,0.005920011
1.88735,0.19576164,0.0045402115
1.89091,0.19810747,0.0025925976
1.89445,0.21373759,0.012931867
1.898,0.19757529,0.015125143
1.90153,0.205664,0.0127502205
1.90506,0.19860193,0.006908567
1.90859,0.20716813,0.023028685
1.91211,0.19126058,0.011991171
1.91563,0.20105158,0.003963112
1.91914,0.20603767,0.010190592
1.92264,0.20951775,0.00548019
1.92614,0.19610323,0.010474132
1.92964,0.19049624,0.0030339854
1.93313,0.18808547,0.009300588
1.93661,0.18601064,0.0049862796
1.94009,0.18288064,0.005267913
1.94357,0.18735813,0.0039635086
1.94704,0.17861114,0.0006004786
1.9505,0.17499612,0.0009362301
1.95396,0.18553922,0.0059061022
1.95742,0.17709155,0.0036078389
1.96087,0.17347048,0.0068154507
1.96431,0.18489963,0.0038590494
1.96775,0.17195691,0.0014924038
1.97119,0.17412403,0.0018097436
1.97462,0.16269019,0.0016995004
1.97804,0.16873956,0.0029242425
1.98147,0.16644694,0.0016087523
1.98488,0.16764778,0.0006743339
1.98829,0.17098199,0.0011055572
1.9917,0.17357089,0.0018387805
1.9951,0.18029192,0.0034062439
1.9985,0.17940341,0.0052524754
2.00189,0.177549,0.00973539
2.00528,0.15349555,0.009856437
2.00867,0.16934252,0.0039553368
2.01205,0.1634815,0.004035865
2.01542,0.16681458,0.002808498
2.01879,0.16301215,0.0055918577
2.02215,0.16055478,0.0026181885
2.02552,0.16328637,0.0031224783
2.02887,0.17057602,0.0015247758
2.03222,0.16787727,0.0005492098
2.03557,0.16695535,0.0019240801
2.03891,0.1697964,0.0062242914
2.04225,0.16657168,0.0032366565
2.04558,0.16808882,0.0036700799
2.04891,0.16763514,0.00289918
2.05224,0.16757362,0.0034344394
2.05556,0.15902102,0.0007926375
2.05887,0.16522664,0.003838441
