,#WAVELENGTH,FLUX,UNCERTAINTY
0,0.994284,0.06807854311892043,
1,0.998119,-0.09879258955735884,
2,1.00197,0.12264895652311991,
3,1.00583,0.3961062931035714,
4,1.00971,0.5001564183063982,
5,1.0136,0.5009061900513972,
6,1.0175,0.570554955324519,
7,1.02142,0.39545250385100505,
8,1.02535,0.49521542690275255,
9,1.02929,0.5373001432600638,
10,1.03324,0.5582747627571093,
11,1.03721,0.6540097171629876,
12,1.04119,0.6033699809526948,
13,1.04518,0.6758327898237774,
14,1.04918,0.6644095083658853,
15,1.05319,0.6778575417903527,
16,1.05721,0.6222209368018536,
17,1.06125,0.6343841713479279,
18,1.06529,0.6542458835303678,
19,1.06935,0.7423391874957754,
20,1.07341,0.734467978105068,
21,1.07749,0.7665685136225467,
22,1.08157,0.8097604467848871,
23,1.08567,0.8221785721002388,
24,1.08977,0.8945984610507135,
25,1.09388,0.8479240601607103,
26,1.098,0.8377285758943539,
27,1.10214,0.8036076584072217,
28,1.10627,0.7716287907247913,
29,1.11042,0.7623100855881926,
30,1.11458,0.817185214115818,
31,1.11874,0.7278681280306363,
32,1.12291,0.8018337684020309,
33,1.12709,0.8547647661002727,
34,1.13128,0.8223954095039387,
35,1.13547,0.6693746130407985,
36,1.13967,0.5735169994450295,
37,1.14388,0.7885058897444496,
38,1.14809,0.8598955356101233,
39,1.15231,0.8138545032581012,
40,1.15654,0.8225303368297929,
41,1.16077,0.8267242294043468,
42,1.165,0.8162688136839319,
43,1.16925,0.542425590941863,
44,1.17349,0.7558030624706482,
45,1.17775,0.5321120475926134,
46,1.182,0.8453823822744673,
47,1.18627,0.8122210792688491,
48,1.19053,0.8627984349656092,
49,1.1948,0.7486995585451192,
50,1.19908,0.6650636576758768,
51,1.20336,0.7500958965636144,
52,1.20764,0.8290505937005082,
53,1.21193,0.7574114766236064,
54,1.21621,0.8647827796509846,
55,1.22051,0.8060516966318739,
56,1.2248,0.8827397226941138,
57,1.2291,0.9012333835237553,
58,1.2334,0.8381080704336978,
59,1.2377,0.8177373439244026,
60,1.24201,0.6307936680317895,
61,1.24632,0.8389448059752584,
62,1.25062,0.6445790653020073,
63,1.25494,0.8795907622554496,
64,1.25925,0.9406146316917053,
65,1.26356,0.9096162694657265,
66,1.26788,0.9353840881993047,
67,1.27219,0.9499181670293647,
68,1.27651,0.9629000265034228,
69,1.28082,0.9872034821717806,
70,1.28514,0.9268886575267198,
71,1.28946,0.9467440981316158,
72,1.29378,0.9486950627615561,
73,1.2981,0.9663909050830327,
74,1.30241,0.9527261847350647,
75,1.30673,0.9606851536801169,
76,1.31105,0.9650612716470486,
77,1.31537,0.9729184882721085,
78,1.31968,1.0,
79,1.324,0.9174676322697709,
80,1.32831,0.8561981310551022,
81,1.33262,0.5622145389837194,
82,1.33693,0.4454134838072492,
83,1.34124,0.4151704793202189,
84,1.34555,0.23916981064300746,
85,1.34986,0.2343438587777286,
86,1.35416,0.22952067953526262,
87,1.35847,0.22469750039539937,
88,1.36277,0.21987712672726925,
89,1.36707,0.21506236084029864,
90,1.37136,0.21025317284964723,
91,1.37565,0.2054439494556839,
92,1.37995,0.20063476027186686,
93,1.38423,0.19583121485955388,
94,1.38852,0.19103047294189096,
95,1.3928,0.18623253647827384,
96,1.39708,0.1814373707524365,
97,1.40136,0.17664497654019973,
98,1.40563,0.1718582250030944,
99,1.4099,0.16707708342340918,
100,1.41416,0.16230151635646217,
101,1.41842,0.15752875591990165,
102,1.42268,0.21210160537126493,
103,1.42694,0.15304605177221312,
104,1.43119,0.3926255783782727,
105,1.43543,0.2827534265525705,
106,1.43967,0.34230826119867097,
107,1.44391,0.32325984855217493,
108,1.44815,0.3294294284693837,
109,1.45238,0.405974163405103,
110,1.4566,0.3924388055214787,
111,1.46082,0.3611504657141013,
112,1.46504,0.3875345568123667,
113,1.46925,0.33065486213787026,
114,1.47345,0.43489315046906857,
115,1.47765,0.4120051163376789,
116,1.48185,0.4039383499624778,
117,1.48604,0.4006512517193937,
118,1.49023,0.4130747357617343,
119,1.49441,0.4070450764814659,
120,1.49858,0.448281972019762,
121,1.50275,0.4463947820573395,
122,1.50692,0.49297369930514223,
123,1.51108,0.45583777662029784,
