#WAVELENGTH,FLUX,UNCERTAINTY
0.6506744,0.16597937,0.43501705
0.65289104,0.0558307,0.3801875
0.6550967,0.057465643,0.14153433
0.6572924,0.48575243,0.09491487
0.65947914,0.24850637,0.10951517
0.6616579,0.21583718,0.088810176
0.6638296,0.34000775,0.17593443
0.6659952,0.10720169,0.03433038
0.66815555,0.063146554,0.15311556
0.6703115,0.16816278,0.14705582
0.6724641,0.15143688,0.12811795
0.67461395,0.46807984,0.3441995
0.676762,0.31868878,0.18973175
0.678909,0.35935122,0.05445169
0.6810558,0.2940723,0.2726347
0.6832031,0.2672687,0.10382017
0.68535167,0.07014968,0.12337453
0.6875022,-0.0024779998,0.06813615
0.6896555,-0.15101726,0.019988729
0.6918121,0.22219627,0.09309205
0.6939728,0.13719568,0.11771533
0.6961382,0.1016697,0.041347455
0.698309,0.13544706,0.06562598
0.7004857,0.039712958,0.038809564
0.70266896,0.2645459,0.07037244
0.70485944,0.06469929,0.05715009
0.7070576,0.16788875,0.050623026
0.709264,0.049382124,0.055927
0.71147925,0.07688847,0.034508914
0.7137038,0.009108972,0.05094957
0.7159382,0.09773156,0.11853293
0.7181829,0.10363904,0.030308658
0.7204384,0.07674349,0.018322622
0.7227052,0.23713644,0.04661011
0.72498363,0.10600138,0.0379164
0.72727424,0.24523236,0.12196647
0.72957736,0.12103538,0.05599242
0.7318935,0.23480208,0.06544704
0.7342229,0.04912644,0.038172774
0.73656607,0.06965911,0.072743
0.73892325,0.12378707,0.015068926
0.74129486,0.12141425,0.030471772
0.74368125,0.15801857,0.058722395
0.7460827,0.07921888,0.054478757
0.7484996,0.1870779,0.054934677
0.7509321,0.18057671,0.021483365
0.75338054,0.18059832,0.06385394
0.7558453,0.07511056,0.010601717
0.75832653,0.105356954,0.018861169
0.7608245,0.10543942,0.07228918
0.76333946,0.06753022,0.033600662
0.7658716,0.049486443,0.019154575
0.76842123,0.07343852,0.015048023
0.7709884,0.03494812,0.016126446
0.77357346,0.036823638,0.024661709
0.7761765,0.07403438,0.05687756
0.7787978,0.04756279,0.03267129
0.78143734,0.09435853,0.013260092
0.7840954,0.14442427,0.028006276
0.78677213,0.06994939,0.023378104
0.78946763,0.11241074,0.016024355
0.79218197,0.108922325,0.019300397
0.7949154,0.14961931,0.013833403
0.79766786,0.16593398,0.020237152
0.80043954,0.22310138,0.039335977
0.8032305,0.16511631,0.016830182
0.80604094,0.24544735,0.0071600294
0.80887073,0.26013237,0.015464154
0.81172,0.2697412,0.054226696
0.8145889,0.28105676,0.014379552
0.8174774,0.26983532,0.016403781
0.8203855,0.28135315,0.028079463
0.8233133,0.31215277,0.013409413
0.82626075,0.27383804,0.028592903
0.8292279,0.32040954,0.0353861
0.83221483,0.24591699,0.013299583
0.83522147,0.29310185,0.008701032
0.8382478,0.30135578,0.011978229
0.8412938,0.26697484,0.015194105
0.8443595,0.22841772,0.024033763
0.84744483,0.18031973,0.017423151
0.8505498,0.20090929,0.015292611
0.85367435,0.20816332,0.011009783
0.8568184,0.23419806,0.013632647
0.85998195,0.2271059,0.00934963
0.8631649,0.235303,0.01669931
0.8663672,0.22979136,0.008526473
0.86958885,0.2165115,0.013642864
0.8728297,0.19910446,0.013843436
0.87608963,0.28470853,0.0030228356
0.87936866,0.29916334,0.026408143
0.88266665,0.34554696,0.022797897
0.8859835,0.27680248,0.015015655
0.8893191,0.35398647,0.013971436
0.89267343,0.3075401,0.016343001
0.8960463,0.39137855,0.01102862
0.8994376,0.40327018,0.01189641
0.90284723,0.43810657,0.019595375
0.90627503,0.44395155,0.012138919
0.90972096,0.49884513,0.010028648
0.9131848,0.55515736,0.008279183
0.9166665,0.6055372,0.007704769
0.92016584,0.5791688,0.014215009
0.92368275,0.57261705,0.014352921
0.92721707,0.5660012,0.014524379
0.9307686,0.536012,0.017424567
0.93433726,0.5823443,0.016237253
0.93792284,0.591339,0.011979954
0.9415252,0.5925306,0.012654401
0.9451442,0.6272793,0.03398011
0.94877964,0.6823827,0.009795556
0.95243144,0.6969073,0.015794527
0.9560993,0.6753356,0.010795118
0.95978314,0.66180897,0.015223146
0.96348274,0.6443864,0.011863927
0.96719795,0.65477896,0.017677741
0.9709286,0.6588649,0.012134625
0.9746745,0.72163165,0.011955774
0.97843546,0.7534057,0.012656804
0.9822113,0.7460897,0.023430778
0.9860018,0.6457861,0.010980125
0.98980683,0.5442947,0.024919473
0.9936262,0.47022724,0.01811287
0.9974596,0.48146832,0.010056208
1.001307,0.49146944,0.009640854
1.0051681,0.53435504,0.013978258
