#WAVELENGTH,FLUX,UNCERTAINTY
0.6428301,0.40470412,0.016511716
0.6450932,0.3733588,0.014846853
0.64734167,0.42454645,0.014996591
0.64957654,0.44816455,0.015669914
0.65179896,0.4325971,0.014643663
0.65400994,0.37665427,0.013558625
0.6562104,0.33289915,0.011755594
0.6584014,0.31356588,0.010907652
0.66058403,0.2799374,0.010369622
0.6627591,0.28000793,0.010377806
0.6649276,0.26364392,0.010436377
0.6670904,0.2601871,0.010436863
0.66924846,0.24016108,0.009925955
0.6714026,0.23077995,0.009867137
0.67355365,0.23803271,0.0092077805
0.67570245,0.24315082,0.009084776
0.6778499,0.25244588,0.008516515
0.6799967,0.25365826,0.008444392
0.6821437,0.24862264,0.008190625
0.68429154,0.2700018,0.008406239
0.686441,0.27549478,0.008558445
0.68859285,0.29828563,0.008134182
0.69074774,0.32694468,0.0076706805
0.6929064,0.368407,0.007152174
0.6950694,0.3967082,0.00668859
0.6972374,0.42906582,0.006380901
0.6994111,0.45590377,0.0061813723
0.7015911,0.48794892,0.005898986
0.7037779,0.47403368,0.005514195
0.7059722,0.4396381,0.0054479684
0.70817447,0.3982247,0.005113055
0.71038526,0.33960927,0.005099931
0.7126052,0.3084899,0.004870893
0.7148347,0.31244528,0.0047559836
0.7170742,0.24138549,0.003897291
0.71932435,0.35065606,0.004520239
0.7215855,0.3798933,0.004262665
0.7238582,0.42292756,0.004229013
0.7261427,0.47155294,0.0040597687
0.7284396,0.5210791,0.0039644456
0.73074925,0.5716178,0.0037835236
0.73307204,0.6215843,0.0037131729
0.7354084,0.6654029,0.0036040912
0.73775864,0.690487,0.0035464535
0.7401231,0.72650915,0.0034037225
0.74250215,0.7435968,0.0032595124
0.7448961,0.7629263,0.0031215136
0.74730533,0.7707172,0.003042315
0.7497301,0.7930616,0.002981221
0.7521707,0.81367946,0.0029114555
0.75462735,0.81871164,0.0028756547
0.7571004,0.79293734,0.003144384
0.75959,0.7636685,0.0035609542
0.7620966,0.6901916,0.003860112
0.7646202,0.61928576,0.0035903165
0.7671612,0.57617146,0.0028997443
0.76971966,0.5770525,0.0025853112
0.7722959,0.579584,0.0024132652
0.77489007,0.59679425,0.002317897
0.7775023,0.61473656,0.0022744683
0.78013283,0.62649494,0.002236261
0.7827818,0.64561564,0.002227882
0.78544927,0.6715089,0.002162724
0.78813547,0.6945808,0.0021642696
0.7908405,0.72561073,0.00213485
0.7935645,0.74797726,0.0021298083
0.7963075,0.7744797,0.0020562746
0.79906976,0.8041676,0.002030116
0.8018512,0.83588433,0.001968453
0.804652,0.8697447,0.001970221
0.8074722,0.90534836,0.0019505469
0.8103119,0.9286547,0.0019399602
0.8131711,0.92499065,0.0019350325
0.81604993,0.9069152,0.0019241757
0.8189483,0.91491914,0.001884693
0.8218664,0.9228575,0.00190384
0.8248042,0.9366816,0.0018004747
0.82776165,0.9356752,0.0017958917
0.8307388,0.9291805,0.0017511082
0.8337357,0.91113394,0.001702674
0.8367523,0.9075733,0.0016634627
0.8397886,0.878027,0.0016666169
0.8428446,0.849704,0.001614779
0.84592026,0.81923175,0.0016124158
0.84901553,0.79994047,0.0015592065
0.8521304,0.79941785,0.0015205457
0.85526484,0.82395715,0.0015066724
0.85841876,0.83347845,0.0014484228
0.8615922,0.856738,0.0014313278
0.86478496,0.85666466,0.0014306181
0.86799705,0.8701224,0.0014063806
0.8712284,0.88768375,0.0013998306
0.87447894,0.90515345,0.0013804765
0.8777486,0.9345617,0.0013795359
0.88103724,0.94554794,0.001345422
0.8843448,0.93771344,0.0013412737
0.8876712,0.9342322,0.0013075473
0.8910163,0.91695297,0.0012840009
0.89438,0.9486728,0.0012966847
0.8977622,0.9766816,0.0013486984
0.9011628,0.9701076,0.0012695697
0.90458167,0.96964824,0.0012607786
0.90801865,0.9786097,0.0012223739
0.9114737,1.0097672,0.0012267904
0.9149466,1.0382657,0.0012125624
0.91843724,1.0505623,0.0012292395
0.9219455,1.0237882,0.0011766492
0.92547125,0.995124,0.0011635985
0.9290143,0.9773946,0.0011655687
0.93257457,0.979685,0.0012213209
0.9361518,0.99117136,0.0012247931
0.9397459,0.99181014,0.0012071861
0.9433567,1.0068235,0.0011763745
0.94698405,1.0227141,0.0012285991
0.9506278,1.0325813,0.0011402514
0.95428777,1.0086739,0.0010930408
0.9579637,0.9939992,0.0010198489
0.96165556,0.9930865,0.0010452518
0.96536314,1.0076718,0.0009725067
0.96908617,1.0058551,0.0009565302
0.9728246,1.010813,0.00093516725
0.9765781,1.0157202,0.00094017107
0.9803466,1.0134655,0.0008954034
0.9841299,1.0066615,0.00088879454
0.9879278,0.99071884,0.00085714064
0.9917401,0.9794134,0.000853065
0.9955666,0.98148763,0.00083926966
0.9994072,0.99681157,0.0008415298
1.0032616,0.9782426,0.0008022108
1.0071295,0.9696918,0.0007924309
1.0110109,0.9709128,0.0007628587
1.0149056,0.9875403,0.00077951996
1.0188133,0.9898199,0.0007637545
1.0227337,0.9835491,0.00076251436
1.0266669,0.98460275,0.0007490423
1.0306125,0.9792357,0.0007404787
1.0345702,0.9809162,0.0007238573
1.03854,0.9853343,0.0007262656
1.0425216,0.98858565,0.0006966848
1.0465149,0.9916951,0.0006993997
1.0505195,0.9894394,0.0006816605
1.0545352,0.9859028,0.0006837634
1.0585619,0.98446804,0.0006654829
1.0625995,0.98184407,0.00066325016
1.0666475,0.983104,0.00065016764
1.070706,0.9794137,0.0006455612
1.0747746,0.9798946,0.00062480214
1.0788531,0.9786223,0.00062485895
1.0829413,0.98392,0.0006106273
1.0870391,1.0,0.00062126224
1.0911461,0.9744646,0.00059046893
1.0952622,0.94910735,0.0005778244
1.0993872,0.94667935,0.00057007396
1.1035209,0.9532904,0.00057849457
1.107663,0.9512544,0.00058906403
1.1118133,0.94464636,0.0005929628
1.1159718,0.9400066,0.000604865
1.120138,0.9365981,0.00063446513
1.1243119,0.9414249,0.0006352065
1.1284932,0.9319597,0.00063550693
1.1326816,0.9110169,0.00061141385
1.1368771,0.89110094,0.0005915307
1.1410793,0.8931791,0.00057286234
1.1452882,0.9044099,0.00056802714
1.1495035,0.92462057,0.0005467353
1.1537249,0.92842156,0.00053972716
1.1579523,0.9225713,0.0005089198
1.1621854,0.91406494,0.00049329974
1.1664242,0.9110612,0.00048460913
1.1706682,0.9027482,0.00048365345
1.1749176,0.8937896,0.00046153952
1.1791718,0.8905569,0.00046537092
1.1834308,0.88742,0.00045281666
1.1876944,0.8858266,0.00045425433
1.1919624,0.8800151,0.00044706237
1.1962346,0.8727646,0.00044296804
1.2005107,0.87060565,0.00043631584
1.2047907,0.8715549,0.00045560725
1.2090743,0.8745112,0.0004462237
1.2133614,0.87265843,0.0004283996
1.2176516,0.8732739,0.00041700792
1.2219449,0.8728873,0.0004216926
1.2262411,0.86725444,0.00040779402
1.2305399,0.86077964,0.00041073724
1.2348412,0.85286903,0.0004033248
1.2391449,0.8442218,0.00040648377
1.2434508,0.8381919,0.00039519268
1.2477585,0.8313013,0.00039666874
1.252068,0.8354895,0.00040202614
1.2563792,0.83291936,0.00040626974
1.2606919,0.8327394,0.0004146583
1.2650057,0.83186024,0.000420449
1.2693207,0.83621866,0.00041249633
1.2736367,0.85001755,0.00041641208
1.2779533,0.8409735,0.00039386022
1.2822706,0.8071278,0.0003759637
1.2865883,0.79946566,0.00036414972
1.2909063,0.80913794,0.0003678993
1.2952244,0.8161585,0.00036798842
1.2995424,0.81274235,0.00036696796
1.3038603,0.80757743,0.0003630267
1.3081778,0.7998249,0.00037302123
1.3124949,0.7945036,0.00036635762
1.3168112,0.7922089,0.00037044814
1.3211267,0.7959919,0.00036642412
1.3254414,0.78638667,0.00036947863
1.3297548,0.76962525,0.00036526713
1.3340671,0.75487894,0.00036949018
1.3383781,0.7386593,0.00036982598
1.3426875,0.72462505,0.00039092303
1.3469952,0.7118089,0.00042489904
1.3513012,0.69817936,0.0005090426
1.3556051,0.6881122,0.00063915685
1.3599072,0.68915564,0.00085853017
1.3642069,0.7012236,0.00096420175
1.3685044,0.7175884,0.0009311288
1.3727995,0.708938,0.000804382
1.377092,0.69563437,0.0008150572
1.3813818,0.70264685,0.00076853106
1.3856689,0.69675124,0.00074927055
1.3899529,0.68683964,0.0007024362
1.3942341,0.67251265,0.0006616754
1.3985119,0.66687363,0.000650374
1.4027866,0.669603,0.0006260019
1.4070579,0.6695942,0.0005757822
