wave,flux,unc
0.6006065011024475,0.08865884562673891,0.006851452463479946
0.6049229502677917,0.0963144004584844,0.0056565831248485575
0.6093331575393677,0.11765684947917392,0.005957565746948312
0.6138330101966858,0.09032171395697769,0.005966123538590147
0.6184261441230774,0.05705987854249031,0.005355512808295947
0.6231160759925842,0.03894795384204709,0.004848593467728311
0.6279063820838928,0.04587150200663978,0.00450299451495872
0.6328005790710449,0.08130178083477729,0.004771928669732368
0.6378021836280823,0.07525235273312451,0.003752296120022295
0.6429146528244019,0.10033065679578021,0.003916966438951358
0.6481415629386902,0.19749302024413223,0.004798127057785208
0.6534862518310548,0.2669774699112113,0.004984262009180483
0.6589521169662476,0.2869397305963832,0.005078743103448723
0.6645425558090209,0.27729165322034877,0.0053710827091537575
0.6702637672424316,0.19621648884508697,0.003994545035047185
0.6761251091957092,0.10180945754583617,0.0032855478789886165
0.682128369808197,0.057823441896519015,0.002636935357637818
0.6882714629173279,0.03464647448232059,0.0026635649075619047
0.6945576667785645,0.0439377035667583,0.0026069668503741514
0.7010006308555603,0.11741012787791048,0.002873255339890203
0.7076113224029541,0.21278014318152672,0.0033748868604467188
0.7143762111663818,0.23849273102991564,0.003352807508223672
0.7213131785392761,0.33921423985787935,0.0037559817835761526
0.7284317016601562,0.44608764325206307,0.004066610300494397
0.7357209920883178,0.5043733323513355,0.004312068541882019
0.7432106137275696,0.48779544942925823,0.004130016260085813
0.750881552696228,0.4660947315624124,0.0037543161736894905
0.7587642073631287,0.40248349129494376,0.003513130693831667
0.7668470144271852,0.24914710307151394,0.0028457466607685776
0.7751415371894836,0.33150358864097257,0.0031514017246114263
0.7836648225784301,0.5672418025917025,0.004007898386845663
0.7924102544784546,0.7067054842945277,0.004493649177610174
0.8013866543769836,0.8136852184433123,0.004831753402239065
0.8106083869934082,0.8667447430035651,0.004826446420360941
0.8200787901878358,0.8665684299297388,0.004844457513031853
0.829806387424469,0.9107975794731277,0.005066729745436109
0.8397953510284424,0.9048905804424993,0.005098767843855136
0.8500522375106812,0.901297835952149,0.00487161574134101
0.8605877757072449,0.899288764726035,0.00499874762356263
